New Features	新功能
Bug fixes	错误修复
Bug Fixes	错误修复
Technical Changes	技术改动
Various technical enhancements.	多项技术性改进。
Various bug fixes over the versions.	修复了各版本中的多项错误。
Emote handling enhancement	情感动作处理改进
Improved Emote Detection	情感动作检测改进
Various QoLs and Changelog System	多项易用性改进与更新日志系统
Major update introducing a comprehensive changelog system with UI integration, configuration tracking, and enhanced user experience features.	一次重大更新，引入了完整的更新日志系统，包含界面集成、配置记录以及多项体验优化。
Changelog system	更新日志系统
Introduced ChangelogWindow UI for viewing updates	新增更新日志窗口界面，用于查看更新内容
Accessible via main plugin window book button	可通过主窗口的书本按钮打开
Clean, organized display of version history	清晰、有条理地展示版本历史
Interactive elements and color-coded entries	支持交互元素与按颜色区分的条目
Comprehensive changelog management system	完整的更新日志管理系统
Versioned changelog entries with structured data	使用结构化数据的版本化更新日志条目
Automatic changelog version tracking	自动记录更新日志版本
Support for rich formatting and icons	支持富文本格式与图标
Added new emote data collected from FFXIVCollect	新增从 FFXIVCollect 收集的情感动作数据
Added which patch the emote is from	新增该情感动作所属的游戏版本
Added the obtention methods to get the emote	新增获取该情感动作的方式
Configuration & Settings	配置与设置
Updated configuration system to track changelog versions	更新配置系统以记录更新日志版本
Show changelog on update	更新后显示更新日志
Last seen changelog version tracking	记录最后查看过的更新日志版本
Added an option to show update notifications	新增显示更新通知的选项
User Interface	用户界面
Enhanced main plugin window with new action buttons in the title bar	增强主窗口，在标题栏新增操作按钮
Added changelog button in title bar	在标题栏新增更新日志按钮
New settings access button	新增设置入口按钮
Integrated support button (Ko-Fi)	集成赞助按钮（Ko-Fi）
Donate	捐赠
Added favorited emotes feature	新增情感动作收藏功能
Easily access frequently used emotes	快速访问常用情感动作
Mark/unmark emotes as favorites	将情感动作标记/取消标记为收藏
View all favorited emotes in the \"Fav\" tab	在「收藏」标签页查看所有收藏的情感动作
Added an info circle you can hover to see what patch the emote is from, and how to obtain it	新增信息图标，悬停即可查看该情感动作来自哪个游戏版本以及如何获取
Fixed an incorrect detection of game emotes.	修复了游戏情感动作识别错误的问题。
The game will now display Patch 7.35 game emotes.	游戏现在会显示 7.35 版本的情感动作。
Bugfix, emote handling enhancement, and internal system change	错误修复、情感动作处理改进与内部系统调整
Fixed emote playing capabilities, now allowing to bypass emotes when sitting or on a mount. Integrated NoireLib for improved utilities and features.	修复了情感动作的播放能力，现在坐着或骑乘时也能无视限制播放情感动作。集成 NoireLib 以改进工具与功能。
You can now emote while sitting, groundsitting, mounted or riding pillion.	现在你可以坐着、坐在地上、骑乘或坐在他人坐骑后座时播放情感动作。
You can now show emote IDs in the emote list.	现在可以在情感动作列表中显示情感动作 ID。
Fixed a bug where Dalamud UI language would be used to get emote commands instead of game language when typing auto-translate emote commands.	修复了在输入自动翻译情感动作指令时，使用 Dalamud 界面语言而非游戏语言来获取情感动作指令的问题。
Fixed a bug where NPCs emotes would bypass once and then block afterwards.	修复了 NPC 的情感动作只能无视限制播放一次、之后就会被拦截的问题。
Integrated NoireLib for improved utilities and changelog system.	集成 NoireLib，以改进工具与更新日志系统。
Refactored emote and character helpers to use NoireLib utilities.	重构情感动作与角色辅助代码，改用 NoireLib 工具。
Bugfix, new UI option and various internal changes	错误修复、新增界面选项与多项内部调整
For debug purposes, you can now show absolutely *all* in game emotes, including invalid ones, with an option in the emote window. Look for \"Show Invalid Emotes\".	为了便于调试，现在可以通过情感动作窗口中的选项显示游戏中*所有*情感动作，包括无效的那些。请查找「显示无效情感动作」。
Emotes previously in the \"Other\" tab had disappeared. Those are now back.	之前位于「其他」标签页的情感动作消失了，现在已恢复。
Other various bug fixes.	其他多项错误修复。
Refactored the code to use the new NoireLib helpers and utilities.	重构代码以使用新的 NoireLib 辅助与工具。
Hotfix	紧急修复
Bug Hotfix	错误紧急修复
Fixed the changelog that would not show anymore.	修复了更新日志不再显示的问题。
Fixed the settings to show the changelog and print in chat on update that were not enforced anymore.	修复了「更新后显示更新日志」和「更新后在聊天栏提示」这两个设置不再生效的问题。
Enhances the emote handling both locally and while synced.	改进本地与同步状态下的情感动作处理。
